date,exp_group,mean.tp0,se.tp0,mean.tp1,se.tp1,mean.tp2,se.tp2,mean.tp3,se.tp3
3_23,neg_plt,0,0,0,0,0,0,0,0
3_23,TBSV,0,0,18.75,10.68563018,50.54,20.80775496,68,10.95445115
3_23,TBSV_DI72,0,0,21.66666667,7.420210496,67.16,4.132042809,65,0
4_9,neg_plt,0,0,0,0,0,0,0,0
4_9,TBSV,0,0,24.16666667,3.227486122,63.64,8.861803177,75,0
4_9,TBSV_DI73,0,0,25.83333333,11.04643877,58.58,15.14007192,70.5,6.224949799
8_1,neg_plt,0,0,0,0,0,0,0,0
8_1,TBSV,0,0,25,0,62.16,6.797646652,67.5,12.99038106
8_1,TBSV_DI72,0,0,25,0,58.04,11.54157702,51.5,19.81161276
8_1,TBSV_DI73,0,0,25,0,65.2,0,56.25,21.65063509
8_10,neg_plt,0,0,0,0,0,0,0,0
8_10,TBSV,0,0,22.5,12.66153938,50.225,17.86739667,71.78571429,5.536674264
8_10,TBSV_DI72,0,0,16.66666667,14.85221314,36.25,23.16157018,67.5,9.219544457
8_10,TBSV_DI73,0,0,16.25,11.54225646,48.86363636,15.26284854,72.1875,7.954951288
